Trace_Name,SSD_ID,Submitted_SubRequests,Completed_SubRequests,Submitted_Read_Sectors,Submitted_Write_Sectors,Attributed_Host_Write_Sectors,WAM_Host_Write_Sectors,WAM_Migration_Write_Sectors,WAM_Cumulative_Write_Sectors,Average_SubRequest_Latency_us,Bad_Block_Count,Pending_Retirement_Count,OP_Consumed_Block_Count,OP_Spare_Block_Limit,Current_Effective_OP_Ratio,EOL_Triggered,EOL_Time_ns,EOL_Bad_Block_Count,EOL_Effective_OP_Ratio,Min_Block_Erase_Count,Max_Block_Erase_Count,Total_Block_Erase_Count,Avg_Block_Erase_Count,StdDev_Block_Erase_Count,Flash_Page_Program_Count,Flash_Page_Erase_Count,Logical_Host_Write_Bytes_Attributed,Approx_Flash_Programmed_Bytes,Approx_Flash_Write_Amplification
prn_0,3,1195595,1195595,6746452,22836041,22836041,22836041,0,22836041,2980.972357,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,19,0.000580,0.024073,2196032,19,11692052992,17989894144,1.538643
prn_0_compact2,0,2030423,2030423,6919197,27859813,27859813,27859813,0,27859813,2561.177320,0,0,0,6554,0.200012,false,0,0,0.000000,0,13,1954,0.059631,0.584777,2920442,1954,14264224256,23924260864,1.677221
prn_0_compact2,1,1276558,1276558,6889219,24468159,24468159,24468159,0,24468159,2899.305697,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,922,0.028137,0.261810,2343638,922,12527697408,19199082496,1.532531
prn_0_compact2,2,1258121,1258121,6962732,21232328,21232328,21232328,0,21232328,3015.826242,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,443,0.013519,0.201542,2143106,443,10870951936,17556324352,1.614976
prn_0_compact2,3,1195595,1195595,6746452,22836041,22836041,22836041,0,22836041,2980.972357,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,19,0.000580,0.024073,2196032,19,11692052992,17989894144,1.538643
prn_0_original,0,2030423,2030423,6919197,27859813,27859813,27859813,0,27859813,2562.169185,0,0,0,6554,0.200012,false,0,0,0.000000,0,13,2109,0.064362,0.608204,2920485,2109,14264224256,23924613120,1.677246
prn_0_original,1,1276558,1276558,6889219,24468159,24468159,24468159,0,24468159,2898.888107,0,0,0,6554,0.200012,false,0,0,0.000000,0,6,935,0.028534,0.259483,2343651,935,12527697408,19199188992,1.532539
prn_0_original,2,1258121,1258121,6962732,21232328,21232328,21232328,0,21232328,3016.268503,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,443,0.013519,0.204250,2143103,443,10870951936,17556299776,1.614974
prn_0_original,3,1195595,1195595,6746452,22836041,22836041,22836041,0,22836041,2981.009674,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,35,0.001068,0.032665,2196033,35,11692052992,17989902336,1.538644
prn_1,0,3136724,3136724,95464413,17061269,17061269,17061269,0,17061269,368.327998,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,55,0.001678,0.040935,1533049,55,8735369728,12558737408,1.437688
prn_1,1,2989686,2989686,95219087,16220886,16220886,16220886,0,16220886,383.255706,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1436589,0,8305093632,11768537088,1.417026
prn_1,2,2835062,2835062,94374829,15350234,15350234,15350234,0,15350234,349.795537,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1349320,0,7859319808,11053629440,1.406436
prn_1,3,3000137,3000137,95260532,15928329,15928329,15928329,0,15928329,341.241301,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,10,0.000305,0.017467,1414663,10,8155304448,11588919296,1.421028
prn_1_compact,0,3136724,3136724,95464413,17061269,17061269,17061269,0,17061269,368.296712,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,55,0.001678,0.040935,1533050,55,8735369728,12558745600,1.437689
prn_1_compact,1,2989686,2989686,95219087,16220886,16220886,16220886,0,16220886,383.227738,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1436589,0,8305093632,11768537088,1.417026
prn_1_compact,2,2835062,2835062,94374829,15350234,15350234,15350234,0,15350234,349.770983,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1349320,0,7859319808,11053629440,1.406436
prn_1_compact,3,3000137,3000137,95260532,15928329,15928329,15928329,0,15928329,341.206868,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,10,0.000305,0.017467,1414663,10,8155304448,11588919296,1.421028
proj0_prxy0_compact,0,4560589,4560589,5891901,110547550,110547550,110547550,0,110547550,954.423619,0,0,0,6554,0.200012,false,0,0,0.000000,0,9,11146,0.340149,0.946872,10104897,11146,56600345600,82779316224,1.462523
proj0_prxy0_compact,1,4113235,4113235,6182678,101531402,101531402,101531402,0,101531402,937.210820,0,0,0,6554,0.200012,false,0,0,0.000000,0,7,8801,0.268585,0.813461,9175141,8801,51984077824,75162755072,1.445880
proj0_prxy0_compact,2,2210558,2210558,7764621,111947326,111947326,111947326,0,111947326,943.735788,0,0,0,6554,0.200012,false,0,0,0.000000,0,3,2708,0.082642,0.339291,7939016,2708,57317030912,65036419072,1.134679
proj0_prxy0_compact,3,6592231,6592231,5364543,91344447,91344447,91344447,0,91344447,1064.917774,0,0,0,6554,0.200012,false,0,0,0.000000,0,11,14216,0.433838,0.923274,10700890,14216,46768356864,87661690880,1.874380
proj_0,0,1295584,1295584,5181050,69425647,69425647,69425647,0,69425647,840.686802,0,0,0,6554,0.200012,false,0,0,0.000000,0,10,973,0.029694,0.406930,4894784,973,35545931264,40098070528,1.128064
proj_0,1,1111703,1111703,4621006,75717357,75717357,75717357,0,75717357,840.271747,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,153,0.004669,0.078181,5194928,153,38767286784,42556850176,1.097752
proj_0,2,909844,909844,3812296,50441853,50441853,50441853,0,50441853,848.877353,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,22,0.000671,0.025902,3566636,22,25826228736,29217882112,1.131326
proj_0,3,1465015,1465015,5200313,106964723,106964723,106964723,0,106964723,935.176038,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,189,0.005768,0.084127,7262621,189,54765938176,59495391232,1.086358
proj_0_compact,0,1308188,1308188,5235932,70760156,70760156,70760156,0,70760156,842.169007,0,0,0,6554,0.200012,false,0,0,0.000000,0,11,965,0.029449,0.415849,4980633,965,36229199872,40801345536,1.126201
proj_0_compact,1,1111703,1111703,4621006,75717357,75717357,75717357,0,75717357,840.324931,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,175,0.005341,0.084517,5194928,175,38767286784,42556850176,1.097752
proj_0_compact,2,946265,946265,3873834,54004944,54004944,54004944,0,54004944,845.438503,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,30,0.000916,0.030244,3802049,30,27650531328,31146385408,1.126430
proj_0_compact,3,1415990,1415990,5083893,102067123,102067123,102067123,0,102067123,908.946922,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,119,0.003632,0.060153,6941357,119,52258366976,56863596544,1.088124
proj_0_compact2,0,1295375,1295375,5275783,69330118,69330118,69330118,0,69330118,839.767386,0,0,0,6554,0.200012,false,0,0,0.000000,0,11,980,0.029907,0.408075,4887090,980,35497020416,40035041280,1.127842
proj_0_compact2,1,1111703,1111703,4621006,75717357,75717357,75717357,0,75717357,840.026733,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,95,0.002899,0.059170,5194928,95,38767286784,42556850176,1.097752
proj_0_compact2,2,901443,901443,3805014,50138707,50138707,50138707,0,50138707,852.225834,0,0,0,6554,0.200012,false,0,0,0.000000,0,1,24,0.000732,0.027053,3548688,24,25671017984,29070852096,1.132439
proj_0_compact2,3,1473625,1473625,5112862,107363398,107363398,107363398,0,107363398,931.191680,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,234,0.007141,0.092822,7288261,234,54970059776,59705434112,1.086145
prxy_0,0,5816256,5816256,896931,33387993,33387993,33387993,0,33387993,971.673202,0,0,0,6554,0.200012,false,0,0,0.000000,0,12,4543,0.138641,0.603870,6959969,4543,17094652416,57016066048,3.335316
prxy_0,1,3291360,3291360,1581186,27115084,27115084,27115084,0,27115084,966.366129,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,3662,0.111755,0.469750,4313141,3662,13882923008,35333251072,2.545087
